Name,Score,Genres,Synopsis,Episodes,Aired,Status,Rating
Hibike! Euphonium 2,8.3,Drama,"Following their success in the qualifying round for the Kansai regional competition, the members of the Kitauji High School concert band set their sights on the next upcoming performance. Utilizing their summer break to the utmost, the band participates in a camp where they are instructed by their band advisor Noboru Taki and his friends who make their living as professional musicians.

Kumiko Oumae and her friends remain determined to attain gold at the Kansai competition, but trouble arises when a student who once quit the band shows interest in rejoining and sparks unpleasant memories for the second-year members. Kumiko also learns about her teacher's surprising past and the motivation behind his desire to lead the band to victory. Reaching nationals will require hard work, and the adamant conviction in each student's commitment to the band will be put to the test.",13.0,"Oct 6, 2016 to Dec 29, 2016",Finished Airing,PG-13 - Teens 13 or older
Yami Shibai 3,6.33,"Avant Garde, Horror, Supernatural","A young boy silently sketches out the forms of the horrors that dwell in his mind. During this adventure into the occult and mysterious, he tells tales that involve dreams of a person with a muscular arm that you must not look at, a hospital with a room that holds a grim secret, and a visit to an eerily silent taxidermy museum.

These tales and more are compiled in Yami Shibai 3. Presented in an art style similar to kamishibai storytelling, this horror series stays true to the gruesome and creepy trend that is prominent in Yami Shibai and Yami Shibai 2nd Season.",13.0,"Jan 11, 2016 to Apr 4, 2016",Finished Airing,PG-13 - Teens 13 or older
Hakuouki: Otogisoushi,6.57,Fantasy,"Features the characters from the games in chibi form with a completely new story with the theme: ""A normal everyday that might have existed.""",12.0,"Apr 5, 2016 to Jun 28, 2016",Finished Airing,PG-13 - Teens 13 or older
Oshiete! Galko-chan,7.03,"Comedy, Slice of Life","At first glance, Galko, Otako, and Ojou are three high school girls who seem like they wouldn’t have anything to do with each other. Galko is a social butterfly with a reputation for being a party animal, even though she is actually innocent and good-hearted despite her appearance. Otako is a plain-looking girl with a sarcastic personality and a rabid love of manga. And Ojou is a wealthy young lady with excellent social graces, though she can be a bit absent-minded at times. Despite their differences, the three are best friends, and together they love to talk about various myths and ask candid questions about the female body.
 
Oshiete! Galko-chan is a lighthearted and humorous look at three very different girls and their frank conversations about themselves and everyday life. No topic is too safe or too sensitive for them to joke about—even though every so often, Galko seems to get a bit embarrassed by their discussions!",12.0,"Jan 8, 2016 to Mar 25, 2016",Finished Airing,PG-13 - Teens 13 or older
Bubuki Buranki,6.25,"Action, Drama, Sci-Fi","Away from home for 10 years, Azuma Kazuki had no idea what was awaiting him upon his return. He certainly did not expect to be attacked by dozens of heavily armed people and taken as their prisoner. Fortunately, Azuma's stay in captivity is short. Wielding a strange sentient weapon—known as ""Bubuki""—upon her right arm, his childhood friend, Kogane Asabuki, rescues him.

After escaping, Azuma learns that he too has the power to control Bubuki. Together with his new companions, he must revive the Buranki titan named Oubu, that sleeps somewhere deep underground. With this knowledge and purpose, a new path to unearth the truths behind the Buranki opens before Azuma.",12.0,"Jan 9, 2016 to Mar 26, 2016",Finished Airing,PG-13 - Teens 13 or older
Seikaisuru Kado,6.74,Sci-Fi,"Cool-headed and rational, Koujirou Shindou is a government official and master negotiator with a well-earned reputation. While departing on a business trip, a giant cube materializes and his plane is taken undamaged into the mysterious, indestructible structure.

As Japanese authorities attempt to identify the cube's properties and origins, Shindou encounters an otherworldly entity known as Yaha-kui zaShunina, who materializes in the form of a human man. He assures Shindou that the passengers are not in any danger and requests help in negotiations with the human world.

Hailing from a higher dimensional universe known as Novo, Yaha-kui zaShunina is able to transfer information between Novo and Shindou's universe through a cube called Kado. Despite having these unfathomable abilities, he does not appear hostile. Instead, he announces that he has come to this world with only one intention: to ""advance"" humanity—starting with Japan.",12.0,"Apr 7, 2017 to Jun 30, 2017",Finished Airing,PG-13 - Teens 13 or older
Show By Rock!! #,7.05,Comedy,"Metropolis of music, MIDICITY. A kitty girl wearing gothic lolita clothing named Cyan is scouted by Maple Arisugawa, the president of a music agency. From there, she meets Chuchu (a pun off of the sound that rabbits make) the honor student rabbit girl, a net geek dog girl named Retoree (from ""Retriever""), and an alien sheep (?) girl named Moa. Together, they form the band named ""Plasmagica,"" and aim for the top of the world.

However, the path there is long and tough, and keeping in high spirits is important. By battling against other strange bands, Plasmagica slowly grows toward a top-grade band. In the end, they'll be a band that becomes the driving force of MIDICITY's music industry... Maybe?

Gonna be a music millionaire!

(Source: Sanrio)",12.0,"Oct 2, 2016 to Dec 18, 2016",Finished Airing,PG-13 - Teens 13 or older
Show By Rock!! Short!!,6.46,Comedy,Happy-go-lucky short stories of daily lives of the band members of Plasmagica and ShinganCrimsonZ.,12.0,"Jul 5, 2016 to Sep 20, 2016",Finished Airing,PG-13 - Teens 13 or older
Luck & Logic,6.06,"Action, Fantasy","""Logic"" is the concept that governs emotions, abilities, ideals, memories, and all other abstract properties that make up life in various worlds. With its power, however, alien ""Foreigners"" are able to pass through portals imbued with their respective world's Logic and pose a threat to other worlds. To counter this problem, the Another Logic Counter Agency (ALCA) from the human world of Septpia employs ""Logicalists,"" people with the power to form bonds with the Foreigners who seek peace and share their Logic, tasked with dealing with all possible dangers.

After overloading his powers two years prior, Yoshichika Tsurugi has lost the ability to use Logic in combat, making him no different from a regular citizen. However, his life soon returns to the battlefield when he meets Athena, a Foreigner goddess from the world of Tetra-Heaven. She brings Yoshichika his missing Logic Card, allowing him to become a Logicalist once again. Soon after, Yoshichika forms a contract with Athena and joins ALCA. There, he meets other Logicalists, and only by working with them can he hope to bring an end to the threats once and for all.",12.0,"Jan 9, 2016 to Mar 26, 2016",Finished Airing,PG-13 - Teens 13 or older
"Watashitachi, Luck Logic-bu!",5.4,Comedy,"The comedy shorts follow four girls who are members of the Luck Logic Club, whose activity is playing the Luck &amp; Logic card game. Watashitachi, Luck Logic-bu! will air approximately one minute before each episode of the main series.

(Source: MAL News)",12.0,"Jan 9, 2016 to Mar 26, 2016",Finished Airing,PG-13 - Teens 13 or older
Tanaka-kun wa Itsumo Kedaruge,7.83,Slice of Life,"For high school student Tanaka, the act of being listless is a way of life. Known for his inattentiveness and ability to fall asleep anywhere, Tanaka prays that each day will be as uneventful as the last, seeking to preserve his lazy lifestyle however he can by avoiding situations that require him to exert himself. Along with his dependable friend Oota who helps him with tasks he is unable to accomplish, the lethargic teenager constantly deals with events that prevent him from experiencing the quiet and peaceful days he longs for.",12.0,"Apr 9, 2016 to Jun 25, 2016",Finished Airing,PG-13 - Teens 13 or older
Reikenzan: Hoshikuzu-tachi no Utage,7.05,"Comedy, Fantasy","Long ago in the nine provinces of Kyushu, a calamitous event was prophesied to take place: falling comets would exhaust the spiritual energies of both the heavens and the lands and thus bring about an age of chaos upon the world. But contrary to the prophecy, the comets passed by with no calamity taking place. At the same time, as if touched by the phenomenon, a boy was born in a remote village of the Sokei region by the name of Ouriku.

Twelve years later, as the memories of the event have faded from people's minds, the Reikenzan clan—one of the five supreme sects of the nine provinces—decides to hold an examination in order to gather the most talented individuals fit to become disciples and eventually sages. Hearing about this news, Ouriku and his servant Ouchou head toward the site, unaware that the organizer Oubu, despite her elegant appearance, is infamous for being extremely irresponsible and carefree; hence, making the trials in the examination unpredictable.

Reikenzan: Hoshikuzu-tachi no Utage follows the story of Ouriku as he journeys through these trials to become a powerful sage.",12.0,"Jan 9, 2016 to Mar 26, 2016",Finished Airing,PG-13 - Teens 13 or older
